cif_file,atom_index,element,coordination_number
0000[Co][sql]2[ASR]2.cif,0,Co,5
0000[Cu][apo]3[ASR]1.cif,0,Cu,5
0000[Cu][apo]3[ASR]1.cif,1,Cu,5
0000[Cu][apo]3[ASR]1.cif,2,Cu,5
0000[Cu][apo]3[ASR]1.cif,3,Cu,5
0000[Cu][apo]3[ASR]1.cif,4,Cu,5
0000[Cu][apo]3[ASR]1.cif,5,Cu,5
0000[Cu][apo]3[ASR]1.cif,6,Cu,5
0000[Cu][apo]3[ASR]1.cif,7,Cu,5
0000[Cu][hex]3[ASR]1.cif,0,Cu,5
0000[Cu][hex]3[ASR]1.cif,1,Cu,5
0000[Cu][hex]3[ASR]1.cif,2,Cu,5
0000[Cu][hex]3[ASR]1.cif,3,Cu,5
0000[Cu][hex]3[ASR]1.cif,4,Cu,5
0000[Cu][hex]3[ASR]1.cif,5,Cu,5
0000[Cu][hex]3[ASR]1.cif,6,Cu,5
0000[Cu][hex]3[ASR]1.cif,7,Cu,5
0000[Cu][hex]3[ASR]1.cif,8,Cu,5
0000[Cu][hex]3[ASR]1.cif,9,Cu,5
0000[Cu][hex]3[ASR]1.cif,10,Cu,5
0000[Cu][hex]3[ASR]1.cif,11,Cu,5
0000[Cu][tbo]3[ASR]2.cif,0,Cu,4
0000[Cu][tbo]3[ASR]2.cif,1,Cu,4
0000[Cu][tbo]3[ASR]2.cif,2,Cu,4
0000[Cu][tbo]3[ASR]2.cif,3,Cu,4
0000[Cu][tbo]3[ASR]2.cif,4,Cu,4
0000[Cu][tbo]3[ASR]2.cif,5,Cu,4
0000[Cu][tbo]3[ASR]2.cif,6,Cu,4
0000[Cu][tbo]3[ASR]2.cif,7,Cu,4
0000[Cu][tbo]3[ASR]2.cif,8,Cu,4
0000[Cu][tbo]3[ASR]2.cif,9,Cu,4
0000[Cu][tbo]3[ASR]2.cif,10,Cu,4
0000[Cu][tbo]3[ASR]2.cif,11,Cu,4
0000[Cu][tbo]3[ASR]2.cif,12,Cu,4
0000[Cu][tbo]3[ASR]2.cif,13,Cu,4
0000[Cu][tbo]3[ASR]2.cif,14,Cu,4
0000[Cu][tbo]3[ASR]2.cif,15,Cu,4
0000[Cu][tbo]3[ASR]2.cif,16,Cu,4
0000[Cu][tbo]3[ASR]2.cif,17,Cu,4
0000[Cu][tbo]3[ASR]2.cif,18,Cu,4
0000[Cu][tbo]3[ASR]2.cif,19,Cu,4
0000[Cu][tbo]3[ASR]2.cif,20,Cu,4
0000[Cu][tbo]3[ASR]2.cif,21,Cu,4
0000[Cu][tbo]3[ASR]2.cif,22,Cu,4
0000[Cu][tbo]3[ASR]2.cif,23,Cu,4
0000[Cu][tbo]3[ASR]2.cif,24,Cu,4
0000[Cu][tbo]3[ASR]2.cif,25,Cu,4
0000[Cu][tbo]3[ASR]2.cif,26,Cu,4
0000[Cu][tbo]3[ASR]2.cif,27,Cu,4
0000[Cu][tbo]3[ASR]2.cif,28,Cu,4
0000[Cu][tbo]3[ASR]2.cif,29,Cu,4
0000[Cu][tbo]3[ASR]2.cif,30,Cu,4
0000[Cu][tbo]3[ASR]2.cif,31,Cu,4
0000[Cu][tbo]3[ASR]2.cif,32,Cu,4
0000[Cu][tbo]3[ASR]2.cif,33,Cu,4
0000[Cu][tbo]3[ASR]2.cif,34,Cu,4
0000[Cu][tbo]3[ASR]2.cif,35,Cu,4
0000[Cu][tbo]3[ASR]2.cif,36,Cu,4
0000[Cu][tbo]3[ASR]2.cif,37,Cu,4
0000[Cu][tbo]3[ASR]2.cif,38,Cu,4
